Sample Name	Protocol REF	Parameter Value[Type Of Cytometer]	Parameter Value[Flow Solution]	Protocol REF	Parameter Value[Marker Type]	Parameter Value[Molecule Or Structure Labeled]	Protocol REF	Parameter Value[Primary Fluorophore (If Conjugated)]	Parameter Value[Primary Company]	Parameter Value[Primary Duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[Primary Temperature]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Original Submitted Files]	Parameter Value[Transformed Files]
34_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
35_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
36_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
37_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
38_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
39_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
40_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
41_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
42_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
43_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
44_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
45_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
46_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
48_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
49_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
50_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
51_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
52_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
56_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
57_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
58_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
59_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
60_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
61_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
62_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
63_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
64_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
65_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
66_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
67_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
68_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
69_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
71_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
72_TailVein_1week	Cytometer Info	LSR II BD Biosciences	RBC Lysis BD Biosciences	Labeling Information	conjugated antibody	CD45, Ly6G, CD8, CD4, CD11b	Labeling Protocol	CD45 - Fluorescein isothiocyanate (FITC), Ly6G - Phycoerythrin (PE), CD8 - Phycoerythrin-Cy7 (PE-Cy7), CD4 - Allophycocyanin (APC), CD11b - Allophycocyanin-Cy7 (APC-Cy7)	BD Biosciences	60	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Flow Cytometry	Not Available	ALSDA Transformed Data	LSDS-122_Flow_Cytometry_Rosi_NSRL_Artemis_2020 04 24_SUBMITTED.xlsx	LSDS-122_Flow_Cytometry_Krukowski2021_Blood_Flow_TRANSFORMED.csv
